,Unnamed: 0,away,home,id,match,stadium,stage,time,tv,y,year,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,address,capa,NHK,NHK_2,mean,temperature-humidity,アビスパ福岡,アルビレックス新潟,カターレ富山,カマタマーレ讃岐,ガイナーレ鳥取,ガンバ大阪,ギラヴァンツ北九州,コンサドーレ札幌,サガン鳥栖,サンフレッチェ広島,ザスパクサツ群馬,ザスパ草津,ジェフユナイテッド千葉,ジュビロ磐田,セレッソ大阪,ファジアーノ岡山,ベガルタ仙台,モンテディオ山形,ロアッソ熊本,ヴァンフォーレ甲府,ヴィッセル神戸,京都サンガF.C.,名古屋グランパス,大分トリニータ,大宮アルディージャ,川崎フロンターレ,徳島ヴォルティス,愛媛ＦＣ,東京ヴェルディ,松本山雅ＦＣ,柏レイソル,栃木ＳＣ,横浜Ｆ・マリノス,横浜ＦＣ,水戸ホーリーホック,浦和レッズ,清水エスパルス,湘南ベルマーレ,鹿島アントラーズ,ＦＣ岐阜,ＦＣ東京,ＦＣ町田ゼルビア,Ｖ・ファーレン長崎,month,day,n_tv
10,10,柏レイソル,ベガルタ仙台,14185,２２,ユアテックスタジアム仙台,Ｊ１,38,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,17715.0,2012,0,0,曇,26.9,86,高山　啓義,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,朴　柱成,松下　年宏,角田　誠,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,柏レイソル,菅野　孝憲,藤田　優人,増嶋　竜也,近藤　直也,橋本　和,水野　晃樹,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,工藤　壮人,ネット　バイアーノ,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,78.69366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,08,5.0,3
11,11,川崎フロンターレ,ベガルタ仙台,14204,２４,ユアテックスタジアム仙台,Ｊ１,38,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,17159.0,2012,2,1,曇一時雨,26.4,79,今村　義朗,ベガルタ仙台,林　卓人,田村　直也,鎌田　次郎,上本　大海,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,川崎フロンターレ,西部　洋平,田中　裕介,レネ　サントス,井川　祐輔,山越　享太郎,風間　宏希,中村　憲剛,風間　宏矢,大島　僚太,登里　享平,山瀬　功治,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,77.03443999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09,5.0,3
12,12,ヴィッセル神戸,ベガルタ仙台,14220,２６,ユアテックスタジアム仙台,Ｊ１,31,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,15509.0,2012,2,1,晴,23.3,67,村上　伸次,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,朴　柱成,松下　年宏,角田　誠,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,ヴィッセル神戸,徳重　健太,茂木　弘人,北本　久仁衛,伊野波　雅彦,相馬　崇人,田中　英雄,橋本　英郎,野沢　拓也,小川　慶治朗,田代　有三,大久保　嘉人,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,71.04688999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09,,4
13,13,ガンバ大阪,ベガルタ仙台,14242,２８,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,18003.0,2012,2,1,曇,20.4,74,木村　博之,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,上本　大海,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,ガンバ大阪,藤ヶ谷　陽介,加地　亮,岩下　敬輔,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,倉田　秋,家長　昭博,レアンドロ,佐藤　晃大,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,67.18704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5.0,3
14,14,浦和レッズ,ベガルタ仙台,14247,２９,ユアテックスタジアム仙台,Ｊ１,26,スカパー！／スカパー！プレミアムサービス,17711.0,2012,3,2,晴,19.3,52,山本　雄大,ベガルタ仙台,林　卓人,田村　直也,鎌田　次郎,上本　大海,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,ポポ,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,64.43263999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,5.0,2
15,15,セレッソ大阪,ベガルタ仙台,14264,３１,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス,17493.0,2012,1,1,曇,12.8,57,扇谷　健司,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,朴　柱成,富田　晋伍,松下　年宏,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,山口　螢,シンプリシオ,枝村　匠馬,ヘベルチ,柿谷　曜一朗,杉本　健勇,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,55.74004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.0,2
16,16,アルビレックス新潟,ベガルタ仙台,14283,３３,ユアテックスタジアム仙台,Ｊ１,29,スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ／ＮＨＫ　ＢＳ１（録）,18526.0,2012,0,1,晴,7.1,40,村上　伸次,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,アルビレックス新潟,黒河　貴矢,坪内　秀介,鈴木　大輔,石川　直樹,金　珍洙,三門　雄大,本間　勲,アラン　ミネイロ,田中　亜土夢,ブルーノ　ロペス,ミシェウ,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,49.142599999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.0,4
17,17,ヴァンフォーレ甲府,ベガルタ仙台,14836,１,ユアテックスタジアム仙台,Ｊ１,28,スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ甲府,16353.0,2013,1,1,晴時々雪,4.9,42,扇谷　健司,ベガルタ仙台,林　卓人,田村　直也,渡辺　広大,石川　直樹,和田　拓也,富田　晋伍,松下　年宏,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,ヴァンフォーレ甲府,荻　晃太,福田　健介,青山　直晃,土屋　征夫,松橋　優,柏　好文,井澤　惇,佐々木　翔,羽生　直剛,金子　昌広,ウーゴ,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,46.300419999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,5.0,4
18,18,柏レイソル,ベガルタ仙台,14854,３,ユアテックスタジアム仙台,Ｊ１,28,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合,13232.0,2013,2,1,晴のち雨,14.9,32,村上　伸次,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,石川　直樹,蜂須賀　孝治,松下　年宏,鎌田　次郎,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,柏レイソル,菅野　孝憲,藤田　優人,増嶋　竜也,近藤　直也,山中　亮輔,レアンドロ　ドミンゲス,谷口　博之,大谷　秀和,狩野　健太,工藤　壮人,クレオ,宮城県仙台市泉区七北田字柳78,19694,1,1,0.7794920173389706,58.51332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,03,5.0,3
19,19,アルビレックス新潟,ベガルタ仙台,14872,５,ユアテックスタジアム仙台,Ｊ１,28,スカパー！／スカパー！プレミアムサービス,12883.0,2013,0,1,曇,13.8,71,井上　知大,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,石川　直樹,田村　直也,富田　晋伍,鎌田　次郎,梁　勇基,佐々木　勇人,太田　吉彰,ウイルソン,アルビレックス新潟,黒河　貴矢,藤田　征也,大井　健太郎,金　根煥,金　珍洙,三門　雄大,レオ　シルバ,成岡　翔,田中　亜土夢,田中　達也,ブルーノ　ロペス,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,57.02502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,5.0,2
20,20,ＦＣ東京,ベガルタ仙台,14882,６,ユアテックスタジアム仙台,Ｊ１,28,スカパー！／スカパー！プレミアムサービス,13655.0,2013,2,1,晴,11.7,41,東城　穣,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,石川　直樹,和田　拓也,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,柳沢　敦,ウイルソン,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,米本　拓司,ルーカス,東　慶悟,長谷川　アーリアジャスール,渡邉　千真,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,54.66302999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,04,5.0,2
21,21,サガン鳥栖,ベガルタ仙台,14907,８,ユアテックスタジアム仙台,Ｊ１,32,スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ佐賀,14359.0,2013,1,1,晴,14.5,32,西村　雄一,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,鎌田　次郎,田村　直也,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,サガン鳥栖,赤星　拓,丹羽　竜平,呂　成海,坂井　達弥,金　民友,岡田　翔平,末吉　隼也,藤田　直之,野田　隆之介,池田　圭,豊田　陽平,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,58.062599999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,6.0,4
22,22,大宮アルディージャ,ベガルタ仙台,14927,１１,ユアテックスタジアム仙台,Ｊ１,28,スカパー！／スカパー！プレミアムサービス／仙台放送,14327.0,2013,2,1,雨,15.6,77,中村　太,ベガルタ仙台,林　卓人,田村　直也,渡辺　広大,鎌田　次郎,蜂須賀　孝治,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,大宮アルディージャ,北野　貴之,今井　智基,菊地　光将,高橋　祥平,下平　匠,渡邉　大剛,青木　拓矢,金澤　慎,曺　永哲,ズラタン,ノヴァコヴィッチ,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,59.81688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,5.0,3
23,23,湘南ベルマーレ,ベガルタ仙台,14955,１４,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス,13470.0,2013,0,0,曇のち雨,25.3,84,村上　伸次,ベガルタ仙台,林　卓人,菅井　直樹,角田　誠,石川　直樹,蜂須賀　孝治,富田　晋伍,梁　勇基,太田　吉彰,武藤　雄樹,赤嶺　真吾,ウイルソン,湘南ベルマーレ,安藤　駿介,鎌田　翔雅,大野　和成,島村　毅,古林　将太,ハン　グギョン,永木　亮太,高山　薫,菊池　大介,大槻　周平,武富　孝介,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,75.82048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,07,5.0,2
24,24,ジュビロ磐田,ベガルタ仙台,14973,１６,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス,14318.0,2013,1,1,曇,21.4,84,扇谷　健司,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,石川　直樹,蜂須賀　孝治,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,ジュビロ磐田,川口　能活,駒野　友一,チョ　ビョングク,藤田　義明,宮崎　智彦,小林　裕紀,田中　裕人,山田　大記,ペク　ソンドン,松浦　拓弥,前田　遼一,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,69.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07,5.0,2
25,25,サンフレッチェ広島,ベガルタ仙台,14980,１７,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス,11755.0,2013,0,2,雨,20.5,77,飯田　淳平,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,石川　直樹,蜂須賀　孝治,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,赤嶺　真吾,ウイルソン,サンフレッチェ広島,西川　周作,塩谷　司,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,67.52114999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07,2.0,2
26,26,川崎フロンターレ,ベガルタ仙台,15000,１９,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,14365.0,2013,2,1,晴,23.4,74,木村　博之,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,角田　誠,石川　直樹,富田　晋伍,松下　年宏,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾,川崎フロンターレ,西部　洋平,田中　裕介,實藤　友紀,中澤　聡太,登里　享平,山本　真希,稲本　潤一,中村　憲剛,アラン　ピニェイロ,レナト,大久保　嘉人,宮城県仙台市泉区七北田字柳78,19694,0,1,0.7794920173389706,71.81484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,5.0,3
27,27,鹿島アントラーズ,ベガルタ仙台,15009,２０,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス,17892.0,2013,2,1,晴,28.8,73,東城　穣,ベガルタ仙台,林　卓人,蜂須賀　孝治,鎌田　次郎,角田　誠,石川　直樹,松下　年宏,梁　勇基,太田　吉彰,富田　晋伍,柳沢　敦,赤嶺　真吾,鹿島アントラーズ,曽ヶ端　準,西　大伍,青木　剛,山村　和也,中田　浩二,柴崎　岳,小笠原　満男,遠藤　康,中村　充孝,野沢　拓也,大迫　勇也,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,80.00276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,08,5.0,2
28,28,セレッソ大阪,ベガルタ仙台,15034,２３,ユアテックスタジアム仙台,Ｊ１,38,スカパー！／スカパー！プレミアムサービス,15101.0,2013,1,1,晴,22.5,63,福島　孝一郎,ベガルタ仙台,林　卓人,石川　大徳,鎌田　次郎,角田　誠,石川　直樹,松下　年宏,梁　勇基,太田　吉彰,富田　晋伍,ウイルソン,柳沢　敦,セレッソ大阪,キム　ジンヒョン,藤本　康太,丸橋　祐介,酒本　憲幸,山下　達也,扇原　貴宏,山口　螢,楠神　順平,シンプリシオ,柿谷　曜一朗,エジノ,宮城県仙台市泉区七北田字柳78,19694,0,0,0.7794920173389706,69.54925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08,2.0,2
